"ID","Year","State","Population","IMR","IMR_Hispanic","IMR_White","IMR_Black","IMR_Native","IMR_Asian","IMR_20","IMR_20_29","IMR_30_39","IMR_40","Expenditure","Expenditure_edu","Expenditure_edu_education","Expenditure_edu_libraries","Expenditure_social","Expenditure_social_health","Expenditure_social_hospitals","Expenditure_social_insurance","Expenditure_social_veterans","Expenditure_social_welfare","Expenditure_env","Expenditure_env_housing","Expenditure_env_parks","Expenditure_env_resources","Expenditure_env_sewerage","Expenditure_env_waste","President","Governor","Legislature","Gini","Poverty"
35,2000,"OH",11353140,7.7,7.5,6.6,14.9,,4.2,11,7.7,6.7,10.7,68418276,20994059,20612205,381854,14752463,2751983,2210529,221641,1343,9566967,4492843,981297,1181712,425482,1488128,416224,"D","R","R",0.449,9.8
36,2000,"OK",3450654,8.4,4.9,7.6,14.3,8.6,5.4,10.8,7.3,8,12,15961566,5901386,5836280,65106,2272673,413461,910771,63064,0,885377,981150,147614,271783,196848,226444,138461,"D","R","D",0.46,12.8
37,2000,"OR",3421399,5.6,6.4,5.4,7.5,8.3,4,8.2,5.4,4.8,5.9,24086300,6584962,6448195,136767,5115770,698276,1252602,79566,14966,3070360,1838959,469032,321279,342337,584382,121929,"D","D","R",0.444,9.2
38,2000,"PA",12281054,7.1,9,5.7,15,6.4,3.4,11.4,7.4,5.7,10.5,75623831,23411810,23255694,156116,17513622,2392413,1553450,247726,1979,13318054,4540746,1255540,815846,644224,1273722,551414,"D","R","R",0.455,8.2
39,2000,"RI",1048319,6.2,7.9,4.6,13,,7.5,11.4,5.6,5.9,4.9,6432385,1879243,1856613,22630,1464883,156085,121570,42694,594,1143940,380042,128262,45663,41252,93974,70891,"D","R","D",0.442,7.8
40,2000,"SC",4012012,8.8,4.4,6.3,15.2,10.8,4.2,12.6,9.2,7.6,11.4,23436064,7212347,7126017,86330,6541485,831841,2184262,67674,0,3457708,1215211,201666,270465,259060,244934,239086,"D","D","S",0.462,11.9
41,2000,"SD",754844,5.2,,6.2,,11.9,,6.2,7.3,7.2,,3760194,1232298,1218178,14120,656482,78428,71823,17671,797,487763,278218,31490,90639,90831,43987,21271,"D","R","R",0.439,8.4
42,2000,"TN",5689283,9.1,6.3,6.5,16,,5.9,11.3,8.3,7.4,10.7,32009918,8461864,8369231,92633,7696222,841537,1897280,83049,2538,4871818,1927475,461003,448953,242537,465876,309106,"D","R","D",0.468,12.4
43,2000,"TX",20851820,5.6,5.1,5.4,10.9,6.4,3.9,8,5.6,5.1,7.7,109634090,39510629,39217371,293258,20598333,2317786,6535751,226732,58557,11459507,6539013,1809067,1214906,1033569,1590527,890944,"D","R","R",0.474,13.3
44,2000,"UT",2233169,5.3,5.9,4.8,6.9,5.7,6.6,7.3,4.7,5,7.7,13044481,4297806,4233385,64421,2224417,295037,445959,10853,0,1472568,791183,115042,238146,154299,181849,101847,"D","R","R",0.41,7.8
45,2000,"VT",608827,6.4,,5.7,,,,8.1,6,5,8.8,3765713,1341217,1330436,10781,784039,76479,2941,3518,0,701101,260343,81410,19079,90186,35531,34137,"D","D","S",0.42,6.7
46,2000,"VA",7078515,6.9,4.9,5.5,13,,4.6,10.8,7.4,5.8,9.7,38092479,13348137,13132025,216112,7225210,935521,1698036,101481,2784,4487388,2655298,615328,592097,208103,751815,487955,"D","R","R",0.456,6.8
47,2000,"WA",5894121,5.2,4.9,4.9,10.3,9.2,4.3,8.5,5.1,4.5,7.4,41794000,11769082,11564543,204539,8550588,1702867,1614194,128583,5126,5099818,3094951,647184,633171,631414,721546,461636,"D","D","S",0.443,8
48,2000,"WV",1808344,7.4,,7.3,10,,,9.8,7.3,6,12.2,9990456,3195226,3171481,23745,2353253,209259,343014,36553,1653,1762774,534784,104353,102219,157937,120394,49881,"D","R","D",0.447,12.7
